230205,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,3.003,10.03,5.003,5.001,9.99,10.02,7,7,20.02,19.93
2,2.996,10.01,4.999,5.005,9.99,9.91,6.998,7.009,20.01,19.95
3,3.006,9.97,5.003,4.998,10.08,9.98,6.998,7.002,19.98,20.05
4,2.999,10.06,5.001,4.998,9.93,10.01,7,6.996,19.96,20.01
5,2.999,10,4.997,5.003,10.03,10.02,6.998,7.003,20,20.02
6,3.005,9.99,5.002,5,10,10,6.991,7.002,20.05,19.98
7,3.005,10.06,5.007,5,9.99,10.08,6.999,7,19.94,19.99
8,3,9.91,5.005,5.002,10.02,9.99,7.005,6.996,20.03,20.07
9,3.003,10,4.997,5.003,9.99,10.01,7.001,6.997,20.03,20.02
10,2.999,10.04,5.007,5,10.03,10.03,6.996,7.001,20.03,20.03
11,3.003,10.01,4.994,5.006,10,10.02,6.995,6.998,19.92,20.06
12,3.003,10.02,4.998,4.995,9.98,10.03,6.992,6.995,20.05,20.08
13,3.001,9.99,4.998,5.007,9.99,9.97,7.007,7.002,20,19.94
14,3.004,10,4.995,5.004,10,10.05,7.002,7.007,19.92,19.94
15,3.003,9.93,4.999,4.999,10,9.95,7.004,7.001,19.98,19.99
16,3.003,10.01,4.996,5.008,10.03,10.05,7,6.995,20.05,19.96
17,3.005,9.96,4.999,4.997,9.97,10.06,6.996,7,20.07,19.98
18,3,9.99,5.001,5.002,9.98,9.95,6.999,7.001,20.04,20.01
19,3.004,9.98,5.006,4.994,10.02,9.96,7,7,19.98,19.96
20,3.005,10,4.998,5.007,9.93,9.95,7.003,6.991,19.98,20.07
21,3.004,9.98,4.998,4.995,9.98,10.04,6.997,6.994,20.01,20.06
22,2.994,10.07,5,4.999,10.05,9.98,7.007,7.001,20.02,20.01
23,3,10.05,5.003,5,10,10.04,7.001,7.002,19.93,19.97
24,2.995,9.94,4.997,4.994,10.03,9.97,7.002,6.997,19.94,20.03
25,3.001,9.95,5.007,4.992,10.04,9.98,7.005,6.997,20.06,20.01
26,3,9.98,4.999,5.001,10.01,10.01,7,6.999,20.08,19.95
27,3.002,9.97,5.003,5.001,9.96,10.01,7.004,6.999,19.98,19.98
28,2.995,10.03,5.003,5,9.97,10.02,7,6.994,20.03,19.97
29,3.003,10,5,4.997,10.05,10.06,6.997,6.996,20.03,20.03
30,2.998,9.99,5,4.999,10.06,9.96,6.994,7.006,19.98,20.02
31,2.994,9.99,5.005,4.998,9.98,9.95,7.002,6.998,19.97,20.04
32,2.999,10.03,4.991,5.008,9.92,9.98,7,6.996,20,20.07
